Pre;Post;Sections;Type
AIZL;SMBDL;1;chemical
AVJR;ALML;3;chemical
AVJR;PVCL;3;chemical
AVJR;AVBL;3;chemical
PVPR;PVCR;2;chemical
PVPR;AVBR;2;chemical
AIYR;RIBR;1;chemical
AIYR;AIZR;1;chemical
AVHL;hyp;1;chemical
AVHL;AVJL;1;chemical
SDQR;AVAL;5;chemical
SDQR;AIBL;5;chemical
RICL;ADAR;1;chemical
RICL;RIMR;1;chemical
AIYR;RIAR;1;chemical
ADFL;AIZL;1;chemical
ADFL;RIAL;1;chemical
RIH;AIZL;1;chemical
PVPL;AVBL;5;chemical
PVPL;AQR;5;chemical
RIFL;AVBL;1;chemical
RIFL;PVPL;1;chemical
HSNL;AVFR;2;chemical
HSNL;RIML;2;chemical
HSNL;AVFL;2;chemical
ASGL;AIAL;2;chemical
ASGL;AIBL;2;chemical
RIAL;SMDVR;1;chemical
RIAL;SMDDL;1;chemical
SMBVL;glial;3;chemical
SMBVL;SAADL;3;chemical
AQR;DVA;3;chemical
AQR;AVBL;3;chemical
AQR;AVDL;3;chemical
PVPR;PVCR;1;chemical
AVM;AVBL;2;chemical
AVM;PVR;2;chemical
AVM;SIBVL;2;chemical
ASGR;AIAR;4;chemical
ASER;AIBR;3;chemical
ASER;AIYR;3;chemical
AVHL;SMBVR;2;chemical
AVHL;SMBDR;2;chemical
AVHL;AWBR;2;chemical
ASHR;AIAR;3;chemical
ASHR;AIBR;3;chemical
AWAL;AFDL;2;chemical
AWAL;AFDL;1;chemical
DVA;SMBDL;2;chemical
DVA;SMBVL;2;chemical
ASGL;AIAL;2;chemical
ASGL;AIBL;2;chemical
RIFL;AVBL;1;chemical
RIFL;PVPL;1;chemical
RIFL;AVJR;2;chemical
RIFL;AVBL;2;chemical
SDQR;AVBR;10;chemical
SDQR;RMHL;10;chemical
RICR;RIML;6;chemical
RICR;VB01;6;chemical
RICR;AIZL;6;chemical
ADFL;SMBVL;1;chemical
ADFL;RIAL;1;chemical
AIZL;SMBVL;2;chemical
AIZL;SMBDL;2;chemical
PLNL;RMDVL;1;chemical
PLNL;SMBVR;1;chemical
ASHR;AIAR;1;chemical
AWCR;AIYR;3;chemical
AWCR;AIBR;3;chemical
ASER;AIBR;1;chemical
ASER;AIYR;1;chemical
DVA;SMBVR;2;chemical
DVA;SMBDR;2;chemical
ADFR;RIAR;3;chemical
ADFR;AIZR;3;chemical
ALA;AVEL;3;chemical
ALA;AVAR;3;chemical
FLPL;AVDL;19;chemical
FLPL;ADEL;19;chemical
AIAL;AIBL;1;chemical
AIAL;AIML;1;chemical
HSNL;AVFR;1;chemical
HSNL;RIFL;1;chemical
HSNL;AVFL;1;chemical
RIFL;AVJR;1;chemical
RIFL;AVBL;1;chemical
ALML;BDUL;3;chemical
ALML;PVCL;1;chemical
ALML;PVCL;1;chemical
ALML;PVCL;1;chemical
ASIL;AIYL;2;chemical
ASIL;AWCL;2;chemical
ASEL;AIYL;3;chemical
ASEL;AWCL;3;chemical
AWCL;AIBL;1;chemical
ADLL;AWCL;2;chemical
ADLL;AIBL;2;chemical
ADLL;ASGL;2;chemical
ASEL;AIYL;2;chemical
ASEL;AWCL;2;chemical
AWCR;AWCL;4;chemical
AWCR;AIYL;4;chemical
AFDL;AIYL;5;chemical
ADFL;RIAL;2;chemical
ADFL;AUAL;2;chemical
RIH;RIBL;3;chemical
RIH;RIAL;3;chemical
RIH;AIZL;3;chemical
AUAL;RIAL;2;chemical
AUAL;RIBL;2;chemical
ADFL;RIAL;2;chemical
ADFL;AUAL;2;chemical
RIH;RIAL;1;chemical
RIH;AIZL;1;chemical
AVHR;DVA;1;chemical
AVHR;SMBDL;1;chemical
SDQR;DVA;2;chemical
SDQR;AVBR;2;chemical
SDQR;AVBR;5;chemical
SDQR;RMHL;5;chemical
AIZL;SMBVL;4;chemical
AIZL;SMBDL;4;chemical
AIZL;RIAL;3;chemical
AIZL;SMBVL;3;chemical
ADFL;SMBVL;2;chemical
ADFL;AIZL;2;chemical
ADFL;RIAL;2;chemical
PLNL;SAADR;1;chemical
PLNL;SMBVR;1;chemical
RICL;RIMR;2;chemical
RICL;RMFR;2;chemical
RICL;RIMR;3;chemical
RIAL;SMDVR;2;chemical
RIAL;RMDDL;2;chemical
RICR;AVAR;3;chemical
AIZL;RIML;5;chemical
AIZL;RICR;5;chemical
AIZL;AIBR;5;chemical
AIYR;RIBR;5;chemical
AIYR;RIAR;5;chemical
AIYR;AIZR;5;chemical
AIZR;SMBVR;1;chemical
AIZR;RIAR;1;chemical
SDQR;AVAL;1;chemical
SDQR;AIBL;1;chemical
AFDR;AIYR;1;chemical
RIFR;PVPR;3;chemical
RIFR;AVBR;3;chemical
SMDVR;SMDDL;1;chemical
SMDVR;RIAL;1;chemical
ADFR;AIYR;1;chemical
ADFR;RIAR;1;chemical
AWAR;AFDR;3;chemical
ALMR;PVCR;1;chemical
AWCR;AIYR;1;chemical
AWCR;AIBR;1;chemical
ASER;AIBR;2;chemical
ASER;AIYR;2;chemical
ASIL;AIYL;1;chemical
ASIL;AWCR;1;chemical
AIZL;AIBR;2;chemical
AIZL;AVER;2;chemical
RIH;AIZR;4;chemical
RIH;RIAR;4;chemical
SMDVL;RIAR;1;chemical
SMDVL;SMDDR;1;chemical
PLNR;SMBVL;2;chemical
SMBVL;SAADL;7;chemical
AIBL;SMDDR;3;chemical
AIBL;RIMR;3;chemical
AIBL;AVAL;3;chemical
RIML;SAADL;1;chemical
RIML;RICR;1;chemical
RIFR;PVPR;2;chemical
RIFR;AVBR;2;chemical
BDUR;ALMR;1;chemical
BDUR;PVNL;1;chemical
ALMR;PVCR;1;chemical
HSNL;AVJL;2;chemical
HSNL;AVFL;2;chemical
ALMR;BDUR;1;chemical
AFDR;AIYR;4;chemical
ASER;AIYR;2;chemical
ASER;AIBR;2;chemical
ASEL;AIYR;2;chemical
ASEL;AIBR;2;chemical
ASEL;AWCR;2;chemical
ADLR;AIAR;2;chemical
ADLR;AIBR;2;chemical
PVT;AIBR;3;chemical
PVT;AIBL;3;chemical
RICR;AIBR;2;chemical
RICR;RIML;2;chemical
RIMR;AIBL;3;chemical
RIMR;SMDDR;3;chemical
ALMR;PVCR;1;chemical
ASJL;PVQL;3;chemical
ASJL;PVQL;4;chemical
ALA;AVEL;3;chemical
ALA;seamL;3;chemical
ADEL;FLPL;2;chemical
ADEL;hyp;2;chemical
ADEL;AVDL;2;chemical
ALNL;SMBDR;3;chemical
ALNL;SAAVL;3;chemical
SMBDR;SAAVL;3;chemical
SMBDR;ALNL;3;chemical
ALML;SMBDR;2;chemical
SMBDL;SMDDL;3;chemical
SMBDL;SAAVR;3;chemical
AIML;AIAL;3;chemical
AIML;ASGL;3;chemical
AIML;ASKL;3;chemical
ASJL;PVQL;2;chemical
ASJL;ASKL;2;chemical
ASKL;AIAL;2;chemical
ASKL;AIML;2;chemical
PVQL;RMGL;1;chemical
PVQL;HSNL;1;chemical
AVFL;AVFR;2;chemical
AVFL;AVBL;2;chemical
ALML;PVCL;3;chemical
ALML;BDUL;1;chemical
ASER;AIYL;3;chemical
AIYL;AFDL;1;chemical
ASHL;AIBL;1;chemical
ADLL;AIBL;1;chemical
ASHL;AVBL;4;chemical
ASHL;ADLL;4;chemical
ALML;PVCR;2;chemical
ALML;PVCL;2;chemical
ASEL;AIYL;3;chemical
ASEL;AWCL;3;chemical
AIAL;AIBL;1;chemical
AIAL;ASGL;1;chemical
ALML;PVCR;2;chemical
ASHL;AVBL;1;chemical
ADAL;AVBR;7;chemical
ADAL;AVAR;7;chemical
PVCR;AVDR;2;chemical
PVCR;RID;2;chemical
PVCR;SIBVR;2;chemical
SMBVL;vBWML7;1;chemical
SMDVR;RMDDL;1;chemical
SMDVR;RIAL;1;chemical
RIS;SMDVL;1;chemical
RIS;RMDDR;1;chemical
RIAL;SMDVR;3;chemical
RIAL;RMDDL;3;chemical
RIAL;SMDDL;1;chemical
RIAL;RIVR;1;chemical
RIVR;SAADL;1;chemical
RIVR;glial;1;chemical
RIVR;SAADL;1;chemical
RIVR;SAADL;2;chemical
RIAL;SMDVR;3;chemical
RIAL;RIVR;3;chemical
CEPVL;SIAVL;6;chemical
CEPVL;RICR;6;chemical
CEPVL;RICL;6;chemical
RIVR;SIAVL;1;chemical
RIVR;RMDVR;1;chemical
RIAL;SMDDL;2;chemical
RIAL;RIVR;2;chemical
RIML;SAAVR;1;chemical
RIML;SMDDL;1;chemical
RICR;SMDDL;3;chemical
RICR;AVAR;3;chemical
SAAVR;SMDDL;1;chemical
AIZL;AIBR;4;chemical
AIZL;RIML;4;chemical
AIZL;AVER;4;chemical
AIBR;RIML;2;chemical
AIBR;SMDDL;2;chemical
AIZL;RIAL;1;chemical
AIBR;RIML;3;chemical
AIBR;SMDDL;3;chemical
AIZL;RIML;6;chemical
AIZL;AIBR;6;chemical
AIZL;AVER;6;chemical
AIZL;RICR;6;chemical
SDQL;AVAR;1;chemical
SDQL;RMFL;1;chemical
SDQL;RICR;3;chemical
SDQL;AVAR;3;chemical
RIGR;PVT;5;chemical
RIGR;AVKR;5;chemical
RIGR;AVKL;5;chemical
SAAVL;RIMR;1;chemical
SAAVL;SMDDR;1;chemical
AIBL;SMDDR;2;chemical
AIBL;RIMR;2;chemical
AIBL;AIZR;2;chemical
AIZR;AVEL;9;chemical
AIZR;AIBL;9;chemical
AIZR;RIMR;9;chemical
AIBL;SMDDR;5;chemical
AIBL;RIMR;5;chemical
SAAVL;SMDDR;1;chemical
SAAVL;AVAL;1;chemical
SAAVL;RIMR;2;chemical
SAAVL;AVAL;2;chemical
SMBVR;SAADR;2;chemical
SMBVR;SAADR;1;chemical
SMBVR;PLNL;2;chemical
SMBVR;SAADR;2;chemical
PLNL;SMBVR;2;chemical
SAAVL;RIMR;4;chemical
SAAVL;AVAL;4;chemical
PLNL;SAADR;1;chemical
PLNL;SMBVR;1;chemical
SMBVR;PLNL;1;chemical
SMBVR;SAADR;1;chemical
PLNL;SAADR;1;chemical
PLNL;SMBVR;1;chemical
SMBVR;PLNL;1;chemical
SMBVR;SAADR;1;chemical
RIMR;SAAVL;2;chemical
RIMR;RMFR;2;chemical
SDQR;AVBL;2;chemical
SDQR;RMHR;2;chemical
SDQR;AVBL;4;chemical
SDQR;RMHR;4;chemical
ALMR;PVCR;1;chemical
ALMR;PVCR;2;chemical
ALMR;BDUR;3;chemical
ASHR;AIAR;1;chemical
ASHR;AIAR;3;chemical
ASKR;AIMR;2;chemical
ASKR;AIAR;2;chemical
ASKR;CEPVR;2;chemical
ASKR;AIAR;1;chemical
ASHR;AIAR;3;chemical
ASIR;CEHVR;1;chemical
ASIR;AWCR;1;chemical
AIAL;AIML;1;chemical
AIAL;ASKL;1;chemical
HSNL;PVQL;1;chemical
AIML;ASKL;2;chemical
AIML;AIAL;2;chemical
ADFL;RIAL;1;chemical
RMFR;AVKR;2;chemical
RMFR;AVKL;2;chemical
RMFR;DVC;2;chemical
AIZL;AIBR;1;chemical
AIZL;AVER;1;chemical
AIZL;RIAL;2;chemical
AIZL;AIBR;1;chemical
AIZL;AVER;1;chemical
PVT;RMFR;2;chemical
PVT;AIBR;2;chemical
AIZR;RIAR;2;chemical
AIZR;SMBVR;2;chemical
RIH;AIZR;7;chemical
RIH;RIAR;7;chemical
ADFR;RIAR;13;chemical
ADFR;SMBVR;13;chemical
ADFR;AIZR;13;chemical
RIS;AVL;1;chemical
RIS;RMDDL;1;chemical
SDQL;RIS;3;chemical
AIZL;AIBR;1;chemical
AIZL;AVER;1;chemical
AIBR;RIML;5;chemical
AIBR;SMDDL;5;chemical
AIZL;RIML;1;chemical
AIZL;AIBR;1;chemical
RIGL;RIR;2;chemical
AQR;AVAR;4;chemical
AQR;AVBR;4;chemical
ASHL;AVAR;1;chemical
AWAL;AFDL;1;chemical
AWAL;AIZL;1;chemical
AWBL;SMBDL;2;chemical
AWBL;ADFL;2;chemical
AWBL;SMBVL;2;chemical
AIAR;AIBR;1;chemical
AIAR;ADLR;1;chemical
ASER;AIBR;3;chemical
ASER;AIYR;3;chemical
ADLR;AIAR;2;chemical
ADLR;AIBR;2;chemical
DVA;SMBVR;2;chemical
DVA;SMBDR;2;chemical
AWCR;AIYR;3;chemical
AWCR;AIBR;3;chemical
RIH;RIBL;4;chemical
RIH;RIAL;4;chemical
RIBL;AUAL;4;chemical
RIBL;RIAL;4;chemical
ADFL;RIAL;1;chemical
ADFL;AUAL;1;chemical
AIML;ASKL;2;chemical
AIML;AIAL;2;chemical
SAAVL;AVAL;2;chemical
SAAVL;RMFR;2;chemical
RICL;AVAL;3;chemical
RICL;SMDDR;3;chemical
SAAVL;SMDDR;3;chemical
SAAVL;AVAL;3;chemical
RICL;AVAL;1;chemical
RICL;AVAL;1;chemical
RICL;SMDDR;1;chemical
SAAVL;SMDDR;5;chemical
SAAVL;AVAL;5;chemical
RICL;ADAR;2;chemical
RICL;AVAL;2;chemical
RICL;SMDDR;2;chemical
SAAVL;AVAL;2;chemical
SAAVL;RIMR;2;chemical
RICL;SAAVL;2;chemical
RICL;AVAL;2;chemical
SAAVL;RMFR;4;chemical
SAAVL;RIMR;4;chemical
SAAVL;AVAL;4;chemical
SAAVL;AVAL;5;chemical
SAAVL;SMDDR;5;chemical
SAAVL;SMDDR;1;chemical
SAAVL;AVAL;1;chemical
URYVR;AVAL;2;chemical
URYVR;RIAR;2;chemical
RICR;AVAL;2;chemical
RICR;SMDDR;2;chemical
RIMR;AVAL;1;chemical
SAAVL;AVAL;1;chemical
SAAVL;RIMR;1;chemical
RIMR;AVAL;1;chemical
SAAVL;AVAL;1;chemical
SAAVL;AVAL;2;chemical
SAAVL;RIMR;2;chemical
RIMR;AVAL;1;chemical
ADFR;RIGR;2;chemical
ADFR;RIGR;1;chemical
ADFR;RIAR;1;chemical
AIZR;AIBL;1;chemical
AIZR;RIMR;1;chemical
RIMR;SAAVL;2;chemical
RIMR;RMFR;2;chemical
AIZR;AIBL;3;chemical
AIZR;RIMR;3;chemical
AIBL;SMDDR;3;chemical
AIBL;RIMR;3;chemical
AIBL;AIZR;3;chemical
AIZR;AIBL;4;chemical
AIZR;RIMR;4;chemical
AIBL;SMDDR;1;chemical
AIBL;RIMR;1;chemical
ADFR;RIAR;6;chemical
ADFR;AIZR;6;chemical
ADFR;RIGR;6;chemical
AIZR;AIBL;4;chemical
AIZR;RIMR;4;chemical
AIZR;AVEL;2;chemical
AIZR;AIBL;2;chemical
AIZR;AVEL;2;chemical
AIZR;AIBL;2;chemical
RIMR;AIBL;1;chemical
RIMR;SMDDR;1;chemical
DVA;AVEL;5;chemical
DVA;SAADR;5;chemical
DVA;RIMR;5;chemical
SMDVL;RIAR;2;chemical
SMDVL;SMDDR;2;chemical
SMDVL;RMDDR;2;chemical
RIAR;SMDDR;4;chemical
RIAR;SMDVL;4;chemical
VB01;SAADL;2;chemical
VB01;vBWML7;2;chemical
RIVL;SAADR;3;chemical
RIAR;RIVL;3;chemical
RIAR;SMDDR;3;chemical
SMBVR;vBWMR7;4;chemical
SMBVR;SAADR;4;chemical
RIVL;vBWMR7;1;chemical
RIVL;vBWMR7;1;chemical
SMBVR;vBWMR7;1;chemical
SMBVR;vBWMR7;1;chemical
RIVL;SMDDR;2;chemical
RIVL;RIAR;2;chemical
RIVL;vBWMR7;4;chemical
RIVL;vBWMR7;1;chemical
RIVL;RMDVL;1;chemical
RIVL;vBWMR7;2;chemical
RIVL;RMDVL;2;chemical
RIVL;vBWMR7;1;chemical
RIVL;vBWMR6;2;chemical
RIVL;vBWMR7;2;chemical
RIVL;vBWMR7;2;chemical
RIVL;vBWMR5;2;chemical
RIVL;vBWMR5;2;chemical
RIVL;vBWMR5;2;chemical
PLNL;SAADR;3;chemical
PLNL;SMBVR;3;chemical
RIAR;SMDVL;2;chemical
SMDVL;RIAR;2;chemical
SMDVL;SMDDR;2;chemical
RIAR;SMDDR;3;chemical
RIAR;SMDVL;3;chemical
RIAR;SMDDR;1;chemical
RIAR;SMDVL;1;chemical
SMDVL;RIAR;3;chemical
SMDVL;SMDDR;3;chemical
RIAR;SMDDR;1;chemical
RIAR;SMDVL;1;chemical
RIAR;SMDVL;2;chemical
RIAR;RMDDR;2;chemical
SMDVL;RIAR;1;chemical
SMDVL;SMDDR;1;chemical
RIAR;SMDDR;2;chemical
RIAR;SMDVL;2;chemical
RIAR;SMDDR;2;chemical
RIAR;SMDVL;2;chemical
SDQR;RICR;2;chemical
SDQR;AVBL;2;chemical
SDQR;SDQL;2;chemical
RIVL;RMDVL;2;chemical
RIVL;SIAVR;2;chemical
ASKR;AIAR;2;chemical
AIZR;RIAR;5;chemical
RIBR;RIH;2;chemical
RIBR;RIAR;2;chemical
RIBR;AUAR;2;chemical
ADFR;RIAR;2;chemical
ADFR;SMBVR;2;chemical
ADFR;RIAR;4;chemical
ADFR;SMBVR;4;chemical
AIZR;SMBDR;1;chemical
AIZR;RIAR;1;chemical
ADFR;AUAR;3;chemical
ADFR;RIAR;3;chemical
AWAR;AFDR;3;chemical
AWAR;AIYR;3;chemical
AWCR;AIYR;1;chemical
ASKR;AIAR;1;chemical
ASEL;ASER;2;chemical
ASEL;AIBR;2;chemical
ASEL;AWCR;2;chemical
ASER;AIBR;2;chemical
ASER;ASEL;2;chemical
ADLR;AIAR;2;chemical
ADLR;AIBR;2;chemical
ASER;AIYR;2;chemical
ASER;AIBR;2;chemical
AINL;AFDR;1;chemical
AINL;ASIL;1;chemical
AIMR;AIAR;1;chemical
AIMR;ASKR;1;chemical
CEPVR;CEHVR;1;chemical
CEPVR;ASGR;1;chemical
CEPVR;CEHVR;1;chemical
CEPVR;ASGR;1;chemical
ASKR;AIMR;1;chemical
ASKR;AIAR;1;chemical
ALMR;CEPVR;1;chemical
ALMR;CEPVR;1;chemical
ALMR;CEPVR;1;chemical
CEPVR;SMDDR;2;chemical
CEPVR;RIVL;2;chemical
CEPVR;SIAVR;2;chemical
CEPVR;RICL;2;chemical
CEPVR;RICR;2;chemical
CEPVR;RMHR;3;chemical
CEPVR;SIAVR;3;chemical
CEPVR;RMHR;1;chemical
CEPVR;SIAVR;1;chemical
RMDVR;vBWML2;1;chemical
RMDVR;URAVL;1;chemical
RMDVR;OLQVL;1;chemical
SIBVL;vBWML2;1;chemical
SIBVL;RMDDL;1;chemical
RMDVL;vBWMR2;1;chemical
SMBVR;vBWMR3;3;chemical
SMBVR;CEPVR;3;chemical
SMBVR;vBWMR6;3;chemical
CEPVR;RICL;8;chemical
CEPVR;RMHR;8;chemical
CEPVR;RICR;8;chemical
RMDVL;RMDDR;1;chemical
RMDVL;vBWMR7;1;chemical
SMBVR;vBWMR6;1;chemical
SMBVR;vBWMR6;2;chemical
SMBVR;vBWMR6;3;chemical
SMBVR;vBWMR2;3;chemical
SMBVR;vBWMR3;3;chemical
SMBVR;CEPVR;3;chemical
SMBVR;vBWMR6;2;chemical
RIAR;RMDDR;13;chemical
RIAR;RMDVL;13;chemical
RMDVL;vBWMR6;1;chemical
RMDVL;vBWMR6;1;chemical
RMDVL;vBWMR7;1;chemical
RMDVL;vBWMR6;2;chemical
RMDVL;vBWMR2;2;chemical
RIAR;RMDDR;3;chemical
RIAR;RMDVL;3;chemical
RIAR;RMDVL;1;chemical
RIAR;RMDVL;4;chemical
RIAR;RMDDR;4;chemical
RMDVL;vBWMR7;1;chemical
RMDVL;vBWMR6;1;chemical
RMGL;RMDVL;1;chemical
RMGL;AVAL;1;chemical
URYVL;RIBL;1;chemical
URYVL;SMDVR;1;chemical
URYVL;AVER;1;chemical
OLLL;AVER;3;chemical
OLLL;CEPVL;3;chemical
SMDVL;RIVL;1;chemical
SMDVL;RMDDR;1;chemical
SMDVL;RIAR;1;chemical
RIAR;RMDDR;4;chemical
RIAR;RMDVL;4;chemical
RMDVL;RMDDR;7;chemical
RMDVL;vBWMR4;7;chemical
RIS;AVER;3;chemical
RIS;RIMR;3;chemical
RIS;AVKL;3;chemical
AIZL;AIBR;1;chemical
AIZL;AVER;1;chemical
RIAR;RMDDR;7;chemical
RIAR;RMDVL;7;chemical
RMDVL;RMDDR;1;chemical
RMDVL;vBWMR4;1;chemical
RMDVL;RMDDR;1;chemical
RMDVL;vBWMR4;1;chemical
RIAR;RMDDR;2;chemical
RIAR;RMDVL;2;chemical
RIAR;RMDDR;1;chemical
RIAR;RMDVL;1;chemical
RMDVL;URYVR;1;chemical
URYVR;RMDVL;4;chemical
URYVR;RMDDR;4;chemical
RMDVL;vBWMR2;11;chemical
RMDVL;RMDDR;11;chemical
RMDVL;vBWMR3;11;chemical
RMDVL;vBWMR6;11;chemical
URYVR;RMDVL;3;chemical
URYVR;RMDDR;3;chemical
URYVR;RMDVL;4;chemical
URYVR;RMDVL;8;chemical
URYVR;RMDDR;8;chemical
RMDVL;vBWMR4;4;chemical
RMDVL;RMDDR;4;chemical
RIAR;RMDDR;2;chemical
RIAR;RMDDR;1;chemical
RIAR;RMDDR;1;chemical
RIAR;RMDDR;1;chemical
RIAR;RMDVL;1;chemical
RIAR;RMDDR;1;chemical
RIAR;RMDVL;1;chemical
RMDVL;RMDDR;7;chemical
RMDVL;vBWMR4;7;chemical
RIAR;RMDDR;2;chemical
RIAR;RMDVL;2;chemical
RIAR;RMDDR;4;chemical
RIAR;RMDVL;4;chemical
RMDVL;vBWMR4;4;chemical
RMDVL;RMDDR;4;chemical
RMDVL;vBWMR4;1;chemical
RMDVL;RMDDR;1;chemical
RMDVL;RMDDR;4;chemical
RMDVL;vBWMR2;4;chemical
RMDVL;vBWMR4;4;chemical
RMDDR;dBWML6;1;chemical
RMDDR;dBWML6;1;chemical
RMDDR;dBWMR2;3;chemical
RMDDR;dBWMR6;3;chemical
RMDDR;dBWMR2;1;chemical
RMDDR;dBWML6;1;chemical
RIVL;SMDDR;2;chemical
RIVL;RIAL;2;chemical
RIAR;RIAL;3;chemical
RIAR;SMDDR;3;chemical
RIAL;SMDDR;3;chemical
RIAL;RIAR;3;chemical
RIAL;RIVL;1;chemical
RIAL;SMDDR;1;chemical
RIAR;RIAL;4;chemical
RIAR;SMDDR;4;chemical
RIAL;RMDDR;3;chemical
RIAL;RMDVL;3;chemical
RIAL;RIVL;1;chemical
RIAL;SMDDR;1;chemical
RIAL;SMDDR;3;chemical
RIAL;SMDVL;3;chemical
RIAL;RIVL;2;chemical
RIAL;SMDDR;2;chemical
RIAL;RMDVL;2;chemical
RIAL;SIAVR;2;chemical
RIAL;RMDR;1;chemical
RIAL;RIAR;1;chemical
RIAL;RMDR;1;chemical
RIAR;RIAL;2;chemical
RIAR;RMDR;2;chemical
RIAR;RMDR;2;chemical
RIAL;RMDR;1;chemical
RIAR;RIAL;3;chemical
RIAR;RMDR;3;chemical
RIAL;RMDR;1;chemical
RIAR;RIAL;1;chemical
RIAR;RMDR;1;chemical
RIAL;RMDR;2;chemical
RIAL;RIAR;2;chemical
RIAR;RMDR;2;chemical
RIAL;RMDDR;2;chemical
RIAL;RMDVL;2;chemical
RIAR;RIAL;1;chemical
RIAR;RMDR;5;chemical
RIAR;RIAL;5;chemical
RIAR;RMDR;2;chemical
RIAR;RIAL;2;chemical
RIAL;RMDR;2;chemical
RIAL;RIAR;2;chemical
RIAR;RIAL;1;chemical
RIAR;RMDR;1;chemical
RIAL;RMDVL;2;chemical
RIAL;RMDDR;2;chemical
RIAL;RMDVL;1;chemical
RIAL;RMDDR;4;chemical
RIAL;RMDVL;4;chemical
RIAL;RMDDR;4;chemical
RIAL;RMDVL;4;chemical
RIAL;RMDDR;1;chemical
RIAL;RMDVL;1;chemical
RID;FLPL;1;chemical
SMDVL;SMDDR;2;chemical
SMDVL;vBWMR6;2;chemical
AIBR;RIMR;1;chemical
AIBR;RIML;1;chemical
SMDVL;vBWMR3;7;chemical
SMDVL;vBWMR6;7;chemical
SMDVL;SMDDR;7;chemical
SMDVL;vBWMR2;7;chemical
RIAR;RIAL;1;chemical
RIAR;SMDVL;1;chemical
SMDVL;RIAR;1;chemical
SMDVL;RIAL;1;chemical
SMDVL;vBWMR6;1;chemical
SMDVL;CEPVR;1;chemical
RIVL;SMDDR;1;chemical
RIVL;RIAL;1;chemical
SMDVL;vBWMR3;1;chemical
SMDVL;vBWMR6;1;chemical
SMDVL;RIAR;6;chemical
SMDVL;RIAL;6;chemical
RIAL;SMDDR;1;chemical
RIAL;SMDVL;1;chemical
RIAL;SMDDR;1;chemical
RIAL;SMDVL;1;chemical
RIAL;SMDDR;1;chemical
RIAL;SMDVL;1;chemical
RIAR;RIAL;2;chemical
RIAR;SMDVL;2;chemical
SMDVL;RIAL;2;chemical
SMDVL;SMDDR;2;chemical
SMDVL;RIAR;2;chemical
SMDVL;RIAL;2;chemical
SMDVL;RIAR;1;chemical
SMDVL;RIAR;1;chemical
SMDVL;RIAL;1;chemical
SMDVL;RIAR;2;chemical
SMDVL;RIAL;2;chemical
SMDVL;RIAR;2;chemical
SMDVL;RIAL;2;chemical
SMDVL;RIAR;1;chemical
SMDVL;RIAL;1;chemical
SMDVL;RIAR;1;chemical
RIAR;SMDVL;2;chemical
RIAR;SMDVL;1;chemical
RIAL;SMDVL;1;chemical
VA01;vBWML7;1;chemical
VA01;VD01;1;chemical
SAADR;OLLL;1;chemical
